entry_id,period,effective_date,posting_date,debit_account,credit_account,amount_minor,amount,memo,vendor,customer,source_document_id,transaction_id,entry_type,category
JE-AP-INV-001,2026-09,2026-09-08,2026-09-08,6000-Operating,2000-AP,1245000,12450.0,Acme supplies invoice,Acme Supplies,,INV-001,TXN-AP-INV-001,ap_invoice,opex
JE-AP-INV-002,2026-09,2026-09-05,2026-09-05,6000-Operating,2000-AP,832000,8320.0,AWS September invoice,Amazon Web Services,,INV-002,TXN-AP-INV-002,ap_invoice,opex
JE-AP-INV-003,2026-09,2026-09-03,2026-09-03,6000-Operating,2000-AP,1500000,15000.0,Datadog invoice pending receipt,Datadog,,INV-003,TXN-AP-INV-003,operating,opex
JE-AP-INV-004,2026-09,2026-09-04,2026-09-04,6000-Operating,2000-AP,500000,5000.0,Slack price exception,Slack Technologies,,INV-004,TXN-AP-INV-004,operating,opex
JE-AP-INV-005,2026-09,2026-09-06,2026-09-06,6000-Operating,2000-AP,437500,4375.0,Figma invoice without receipt,Figma,,INV-005,TXN-AP-INV-005,operating,opex
JE-AP-INV-006,2026-09,2026-09-16,2026-09-16,6000-Operating,2000-AP,875000,8750.0,Shadow vendor original,Shadow Vendor LLC,,INV-006,TXN-AP-INV-006,operating,opex
JE-AP-INV-009,2026-09,2026-09-19,2026-09-19,6000-Operating,2000-AP,5000000,50000.0,Phantom vendor invoice,Northwind Phantom LLC,,INV-009,TXN-AP-INV-009,operating,opex
JE-AP-INV-012,2026-09,2026-09-02,2026-09-02,6000-Operating,2000-AP,2100000,21000.0,GitHub not yet due,GitHub,,INV-012,TXN-AP-INV-012,operating,opex
JE-AP-INV-013,2026-09,2026-09-14,2026-09-14,6000-Operating,2000-AP,210000,2100.0,Office Depot discount window,Office Depot,,INV-013,TXN-AP-INV-013,operating,opex
JE-AP-INV-014,2026-09,2026-09-04,2026-09-04,6000-Operating,2000-AP,500000,5000.0,Northline INV-014,Northline Fabrication,,INV-014,TXN-AP-INV-014,operating,opex
JE-AP-INV-015,2026-09,2026-09-05,2026-09-05,6000-Operating,2000-AP,750000,7500.0,Northline INV-015,Northline Fabrication,,INV-015,TXN-AP-INV-015,operating,opex
JE-AP-INV-016,2026-09,2026-09-06,2026-09-06,6000-Operating,2000-AP,600000,6000.0,Northline INV-016,Northline Fabrication,,INV-016,TXN-AP-INV-016,operating,opex
JE-AP-INV-017,2026-09,2026-09-08,2026-09-08,6000-Operating,2000-AP,1000000,10000.0,Helios hardware,Helios Hardware,,INV-017,TXN-AP-INV-017,ap_invoice,opex
JE-AP-INV-018,2026-09,2026-09-05,2026-09-05,Computer Equipment,2000-AP,6000000,60000.0,Dell server cluster,Dell Technologies,,INV-018,TXN-AP-INV-018,capital,capex
JE-AP-INV-019,2026-09,2026-09-01,2026-09-01,Prepaid Insurance,2000-AP,1200000,12000.0,Prepaid insurance,Hartford Insurance,,INV-019,TXN-AP-INV-019,operating,prepaid
JE-AP-INV-021,2026-09,2026-09-10,2026-09-10,6000-Operating,2000-AP,1245000,12450.0,Acme alias invoice using August CASE-001 precedent,Acme Supply Co.,,INV-021,TXN-AP-INV-021,ap_invoice,opex
JE-TXN-REV-AUG-001,2026-08,2026-08-15,2026-08-15,1100-AR,4000-Revenue,40000000,400000.0,August platform subscriptions,,Northwind Labs,INV-AR-AUG-001,TXN-REV-AUG-001,ar_invoice,revenue
JE-TXN-REV-AUG-002,2026-08,2026-08-20,2026-08-20,1100-AR,4000-Revenue,35000000,350000.0,August usage,,Helios Analytics,INV-AR-AUG-002,TXN-REV-AUG-002,ar_invoice,revenue
JE-TXN-REV-AUG-003,2026-08,2026-08-28,2026-08-28,1100-AR,4000-Revenue,25000000,250000.0,August professional services,,Acme Industrial,INV-AR-AUG-003,TXN-REV-AUG-003,ar_invoice,revenue
JE-TXN-HOST-AUG-001,2026-08,2026-08-31,2026-08-31,5100-Hosting,2000-AP,5000000,50000.0,AWS August compute,Amazon Web Services,,INV-HOST-AUG-001,TXN-HOST-AUG-001,ap_invoice,hosting
JE-TXN-HOST-AUG-002,2026-08,2026-08-31,2026-08-31,5100-Hosting,2000-AP,3000000,30000.0,GCP August compute,Google Cloud,,INV-HOST-AUG-002,TXN-HOST-AUG-002,ap_invoice,hosting
JE-TXN-SUP-AUG-001,2026-08,2026-08-31,2026-08-31,5200-Supplier,2000-AP,18000000,180000.0,Acme components,Acme Supplies,,INV-SUP-AUG-001,TXN-SUP-AUG-001,ap_invoice,supplier
JE-TXN-SUP-AUG-002,2026-08,2026-08-31,2026-08-31,5200-Supplier,2000-AP,7000000,70000.0,Helios hardware,Helios Hardware,,INV-SUP-AUG-002,TXN-SUP-AUG-002,ap_invoice,supplier
JE-TXN-FRT-AUG-001,2026-08,2026-08-31,2026-08-31,5300-Freight,2000-AP,2000000,20000.0,Standard inbound freight,Freightline Logistics,,INV-FRT-AUG-001,TXN-FRT-AUG-001,ap_invoice,freight
JE-TXN-COGS-AUG-MSC,2026-08,2026-08-31,2026-08-31,5400-Other-COGS,2000-AP,1000000,10000.0,Unclassified August COGS,Misc Supplies,,INV-MSC-AUG-001,TXN-COGS-AUG-MSC,ap_invoice,unclassified
JE-TXN-HOST-SEP-001,2026-09,2026-09-30,2026-09-30,5100-Hosting,2000-AP,5000000,50000.0,AWS September compute,Amazon Web Services,,INV-HOST-SEP-001,TXN-HOST-SEP-001,ap_invoice,hosting
JE-TXN-HOST-SEP-002,2026-09,2026-09-30,2026-09-30,5100-Hosting,2000-AP,3000000,30000.0,GCP September compute,Google Cloud,,INV-HOST-SEP-002,TXN-HOST-SEP-002,ap_invoice,hosting
JE-TXN-HOST-SEP-OVERAGE,2026-09,2026-09-30,2026-09-30,5100-Hosting,2000-AP,1500000,15000.0,AWS unplanned hosting overage,Amazon Web Services,,INV-HOST-SEP-003,TXN-HOST-SEP-OVERAGE,ap_invoice,hosting
JE-TXN-SUP-SEP-001,2026-09,2026-09-30,2026-09-30,5200-Supplier,2000-AP,18720000,187200.0,Acme components at the new contract rate,Acme Supplies,,INV-SUP-SEP-001,TXN-SUP-SEP-001,ap_invoice,supplier
JE-TXN-SUP-SEP-002,2026-09,2026-09-30,2026-09-30,5200-Supplier,2000-AP,7280000,72800.0,Helios hardware at the new contract rate,Helios Hardware,,INV-SUP-SEP-002,TXN-SUP-SEP-002,ap_invoice,supplier
JE-TXN-FRT-SEP-001,2026-09,2026-09-30,2026-09-30,5300-Freight,2000-AP,2000000,20000.0,Standard inbound freight,Freightline Logistics,,INV-FRT-SEP-001,TXN-FRT-SEP-001,ap_invoice,freight
JE-TXN-FRT-SEP-EXPEDITE,2026-09,2026-09-30,2026-09-30,5300-Freight,2000-AP,400000,4000.0,Expedited freight on late materials,Freightline Logistics,,INV-FRT-SEP-002,TXN-FRT-SEP-EXPEDITE,ap_invoice,freight
JE-TXN-COGS-SEP-RESIDUAL,2026-09,2026-09-30,2026-09-30,5400-Other-COGS,2000-AP,1100000,11000.0,Unclassified September COGS,Misc Supplies,,INV-MSC-SEP-001,TXN-COGS-SEP-RESIDUAL,ap_invoice,unclassified
JE-TXN-REV-SEP-001,2026-09,2026-09-15,2026-09-15,1100-AR,4000-Revenue,36760000,367600.0,September platform after discount,,Northwind Labs,INV-AR-SEP-001,TXN-REV-SEP-001,ar_invoice,revenue
JE-TXN-REV-SEP-002,2026-09,2026-09-20,2026-09-20,1100-AR,4000-Revenue,37000000,370000.0,September usage (mix shift),,Helios Analytics,INV-AR-SEP-002,TXN-REV-SEP-002,ar_invoice,revenue
JE-TXN-REV-SEP-003,2026-09,2026-09-28,2026-09-28,1100-AR,4000-Revenue,25000000,250000.0,September professional services,,Acme Industrial,INV-AR-SEP-003,TXN-REV-SEP-003,ar_invoice,revenue
JE-OPEX-AUG-PAY,2026-08,2026-08-28,2026-08-28,6100-Payroll,1000-Cash,14000000,140000.0,August payroll,,,PR-2026-08-28,TXN-PAY-AUG,payroll,payroll
JE-OPEX-SEP-PAY,2026-09,2026-09-25,2026-09-25,6100-Payroll,1000-Cash,14000000,140000.0,September payroll,,,PR-2026-09-25,TXN-PAY-SEP,payroll,payroll
JE-OPEX-AUG-001,2026-08,2026-08-31,2026-08-31,6000-Operating,1000-Cash,6000000,60000.0,August operating expenses,,,OPEX-AUG,TXN-OPEX-AUG-001,operating,operating
JE-OPEX-SEP-001,2026-09,2026-09-30,2026-09-30,6000-Operating,1000-Cash,6000000,60000.0,September operating expenses,,,OPEX-SEP,TXN-OPEX-SEP-001,operating,operating
JE-AR-INV-AR-013,2026-09,2026-09-01,2026-09-01,1100-AR,4000-Revenue,1240000,12400.0,Northstar platform,,Northstar LLC,INV-AR-013,TXN-AR-013,ar_invoice,revenue
JE-AP-INV-022,2026-09,2026-09-24,2026-09-24,6000-Operating,2000-AP,7278,72.78,security monitoring hosts billed 2026-09-24,Ginkgo Supply,,INV-022,TXN-AP-INV-022,ap_invoice,volume_opex
JE-AP-INV-023,2026-09,2026-09-25,2026-09-25,6000-Operating,2000-AP,29491,294.91,platform seats — monthly billed 2026-09-25,Echo Group,,INV-023,TXN-AP-INV-023,ap_invoice,volume_opex
JE-AP-INV-024,2026-09,2026-09-26,2026-09-26,6000-Operating,2000-AP,12104,121.04,usage overage block billed 2026-09-26,Alder Components,,INV-024,TXN-AP-INV-024,ap_invoice,volume_opex
JE-AP-INV-025,2026-09,2026-09-27,2026-09-27,6000-Operating,2000-AP,198117,1981.17,implementation hours billed 2026-09-27,Walnut Labs,,INV-025,TXN-AP-INV-025,ap_invoice,volume_opex
JE-AP-INV-026,2026-09,2026-09-01,2026-09-01,6000-Operating,2000-AP,180130,1801.3,premium support billed 2026-09-01,Timber Systems,,INV-026,TXN-AP-INV-026,ap_invoice,volume_opex
JE-AP-INV-027,2026-09,2026-09-02,2026-09-02,6000-Operating,2000-AP,19143,191.43,SaaS workspace add-on billed 2026-09-02,Quince Network,,INV-027,TXN-AP-INV-027,ap_invoice,volume_opex
JE-AP-INV-028,2026-09,2026-09-03,2026-09-03,6000-Operating,2000-AP,11706,117.06,warehouse consumables billed 2026-09-03,Nimbus Partners,,INV-028,TXN-AP-INV-028,ap_invoice,volume_opex
JE-AP-INV-029,2026-09,2026-09-04,2026-09-04,6000-Operating,2000-AP,180169,1801.69,colo cross-connect billed 2026-09-04,Juniper Services,,INV-029,TXN-AP-INV-029,ap_invoice,volume_opex
JE-AP-INV-030,2026-09,2026-09-05,2026-09-05,6000-Operating,2000-AP,6182,61.82,security monitoring hosts billed 2026-09-05,Harbor Studio,,INV-030,TXN-AP-INV-030,ap_invoice,volume_opex
JE-AP-INV-031,2026-09,2026-09-06,2026-09-06,6000-Operating,2000-AP,25395,253.95,platform seats — monthly billed 2026-09-06,Driftwood Works,,INV-031,TXN-AP-INV-031,ap_invoice,volume_opex
JE-AP-INV-032,2026-09,2026-09-07,2026-09-07,6000-Operating,2000-AP,10708,107.08,usage overage block billed 2026-09-07,Beacon Supply,,INV-032,TXN-AP-INV-032,ap_invoice,volume_opex
JE-AP-INV-033,2026-09,2026-09-08,2026-09-08,6000-Operating,2000-AP,176000,1760.0,implementation hours billed 2026-09-08,Wharf Group,,INV-033,TXN-AP-INV-033,ap_invoice,volume_opex
JE-AP-INV-034,2026-09,2026-09-09,2026-09-09,6000-Operating,2000-AP,1620013,16200.13,premium support billed 2026-09-09,Teak Components,,INV-034,TXN-AP-INV-034,ap_invoice,volume_opex
JE-AP-INV-035,2026-09,2026-09-10,2026-09-10,6000-Operating,2000-AP,9526,95.26,SaaS workspace add-on billed 2026-09-10,Quarry Labs,,INV-035,TXN-AP-INV-035,ap_invoice,volume_opex
JE-AP-INV-036,2026-09,2026-09-11,2026-09-11,6000-Operating,2000-AP,7739,77.39,warehouse consumables billed 2026-09-11,Northwood Systems,,INV-036,TXN-AP-INV-036,ap_invoice,volume_opex
JE-AP-INV-037,2026-09,2026-09-12,2026-09-12,6000-Operating,2000-AP,135052,1350.52,colo cross-connect billed 2026-09-12,Keel Network,,INV-037,TXN-AP-INV-037,ap_invoice,volume_opex
JE-AP-INV-038,2026-09,2026-09-13,2026-09-13,6000-Operating,2000-AP,4865,48.65,security monitoring hosts billed 2026-09-13,Ginkgo Partners,,INV-038,TXN-AP-INV-038,ap_invoice,volume_opex
JE-AP-INV-039,2026-09,2026-09-14,2026-09-14,6000-Operating,2000-AP,21078,210.78,platform seats — monthly billed 2026-09-14,Echo Services,,INV-039,TXN-AP-INV-039,ap_invoice,volume_opex
